latitude,longitude,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
-33.3685,-70.69021,24.76,26.13,32.23,955.78,0.0,"21/01, 20:14:47"
-33.3685,-70.69021,24.76,26.13,32.23,955.78,0.0,"21/01, 20:14:47"
-33.368518333333334,-70.69026166666667,24.8,26.17,32.12,955.81,0.0,"21/01, 20:14:53"
-33.368518333333334,-70.69026166666667,24.8,26.17,32.12,955.81,0.0,"21/01, 20:14:53"
-33.3686,-70.69033,24.78,26.11,32.03,955.77,-0.0,"21/01, 20:14:57"
-33.3686,-70.69033,24.78,26.11,32.03,955.77,-0.0,"21/01, 20:14:57"
-33.36859,-70.69034,24.78,26.15,32.03,955.79,-0.0,"21/01, 20:15:01"
-33.36859,-70.69034,24.78,26.15,32.03,955.79,-0.0,"21/01, 20:15:01"
-33.368566666666666,-70.69032666666666,24.77,26.11,31.93,955.71,-0.0,"21/01, 20:15:06"
-33.368566666666666,-70.69032666666666,24.77,26.11,31.93,955.71,-0.0,"21/01, 20:15:06"
-33.36853166666667,-70.69029166666667,24.78,26.18,31.93,955.79,-0.0,"21/01, 20:15:10"
-33.36853166666667,-70.69029166666667,24.78,26.18,31.93,955.79,-0.0,"21/01, 20:15:10"
-33.36851,-70.69027666666666,24.78,26.14,31.93,955.73,-0.0,"21/01, 20:15:13"
-33.36851,-70.69027666666666,24.78,26.14,31.93,955.73,-0.0,"21/01, 20:15:13"
-33.36848333333333,-70.69024666666667,24.81,26.2,32.03,955.82,-0.0,"21/01, 20:15:18"
-33.36848333333333,-70.69024666666667,24.81,26.2,32.03,955.82,-0.0,"21/01, 20:15:18"
-33.368471666666665,-70.69021,24.78,26.14,32.03,955.75,0.0,"21/01, 20:15:21"
-33.368471666666665,-70.69021,24.78,26.14,32.03,955.75,0.0,"21/01, 20:15:21"
-33.36846333333333,-70.69018666666666,24.78,26.18,32.23,955.83,-0.0,"21/01, 20:15:26"
-33.36846333333333,-70.69018666666666,24.78,26.18,32.23,955.83,-0.0,"21/01, 20:15:26"
-33.36846333333333,-70.690185,24.77,26.13,32.12,955.76,0.0,"21/01, 20:15:30"
-33.36846333333333,-70.690185,24.77,26.13,32.12,955.76,0.0,"21/01, 20:15:30"
-33.368473333333334,-70.690215,24.77,26.16,32.12,955.83,0.0,"21/01, 20:15:34"
-33.368473333333334,-70.690215,24.77,26.16,32.12,955.83,0.0,"21/01, 20:15:34"
-33.368518333333334,-70.69025333333333,24.76,26.09,32.12,955.75,0.0,"21/01, 20:15:37"
-33.368518333333334,-70.69025333333333,24.76,26.09,32.12,955.75,0.0,"21/01, 20:15:37"
-33.368555,-70.69031333333334,24.74,26.13,32.12,955.81,-0.0,"21/01, 20:15:41"
